Rank,Recommended action,Score impact,Points achieved,Status,Regressed,Have license?,Category,Product,Last synced ,Microsoft update,Notes
41,Ensure multifactor authentication is enabled for all users in administrative roles,+3.55%,	10/10,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
42,Ensure multifactor authentication is enabled for all users,+3.19%,	9/9,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
43,Create Safe Links policies for email messages,+3.19%,	9/9,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
44,Enable Conditional Access policies to block legacy authentication,+2.84%,	8/8,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
45,Ensure the 'Password expiration policy' is set to 'Set passwords to never expire (recommended)',+2.84%,	8/8,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
46,Turn on Safe Attachments in block mode,+2.84%,	8/8,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
47,Ensure that mailbox intelligence is enabled,+2.84%,	8/8,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
48,Enable Microsoft Entra ID Identity Protection sign-in risk policies,+2.48%,	7/7,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
49,Enable Microsoft Entra ID Identity Protection user risk policies,+2.48%,	7/7,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
50,Create zero-hour auto purge policies for malware,+2.13%,	6/6,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
51,"Turn on Microsoft Defender for Office 365 in SharePoint, OneDrive, and Microsoft Teams",+1.77%,	5/5,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
52,Turn on Safe Documents for Office Clients,+1.77%,	5/5,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
53,Ensure the Common Attachment Types Filter is enabled,+1.77%,	5/5,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
54,Set action to take on high confidence phishing detection,+1.77%,	5/5,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
55,Set action to take on spam detection,+1.77%,	5/5,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
56,Ensure Safe Attachments policy is enabled,+1.77%,	5/5,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
57,Ensure modern authentication for Exchange Online is enabled,+1.06%,	3/3,Completed,No,Yes,Apps,Exchange Online,4/19/2024,None,
58,Ensure Spam confidence level (SCL) is configured in mail transport rules with specific domains,+1.06%,	3/3,Completed,No,No,Apps,Exchange Online,4/19/2024,None,
59,Create zero-hour auto purge policies for phishing messages,+1.06%,	3/3,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
60,Set action to take on bulk spam detection,+1.06%,	3/3,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
61,Ensure Safe Links for Office Applications is Enabled,+1.06%,	3/3,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
62,Ensure that no sender domains are allowed for anti-spam policies,+0.71%,	2/2,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
63,Ensure 'Self service password reset enabled' is set to 'All',+0.35%,	1/1,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
64,Designate more than one global admin,+0.35%,	1/1,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
65,Use least privileged administrative roles,+0.35%,	1/1,Completed,No,Yes,Identity,Microsoft Entra ID,3/25/2024,None,
66,Don't add allowed IP addresses in the connection filter policy ,+0.35%,	1/1,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
67,Create zero-hour auto purge policies for spam messages,+0.35%,	1/1,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
68,Set automatic email forwarding rules to be system controlled,+0.35%,	1/1,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
69,Set maximum number of external recipients that a user can email per hour,+0.35%,	1/1,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
70,Set maximum number of internal recipients that a user can send to within an hour,+0.35%,	1/1,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
71,Set a daily message limit,+0.35%,	1/1,Completed,No,Yes,Apps,Defender for Office,4/19/2024,None,
72,Restrict dial-in users from bypassing a meeting lobby ,+0.35%,	1/1,Completed,No,Yes,Apps,Microsoft Teams,4/16/2024,None,
73,Limit external participants from having control in a Teams meeting,+0.35%,	1/1,Completed,No,Yes,Apps,Microsoft Teams,4/16/2024,None,
74,Restrict anonymous users from starting Teams meetings,+0.35%,	1/1,Completed,No,Yes,Apps,Microsoft Teams,4/16/2024,None,
